Sample	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10
Sample1	4.66982517075095	11.9595594941508	11.4315821555154	16.1436591467991	8.64637773378424	22.2914071931376	26.7793059386114	13.7156648145311	23.8771625711858	20.5357101654652
Sample2	0.261456472249116	-10.535295651328	7.3380113893626	28.9803081013037	-1.54970258204336	21.1477486771961	11.3313168535209	12.5217191938973	18.8964229600072	15.6510159108996
Sample3	2.11097390933021	4.98395421005839	11.7173523216009	11.0098005515257	1.36462421006812	11.9754373332044	18.839887391323	21.3212861950673	27.6726165694984	2.62702744657692
Sample4	2.09813382638384	-1.93770984233154	2.53072859648526	-2.83075141839231	1.18205335616559	13.3600955241373	15.793929914002	32.0723456226119	18.7881235291482	7.36304400217566
Sample5	0.843288543278206	12.8828116863451	9.80260689988754	-2.06322501803285	14.5711806813516	4.79846455056875	39.8325559638405	21.1381452611659	2.3130016351391	24.0630851206927
Sample6	0.00252268800799138	4.53070415498667	3.65995396546706	7.64585435082388	8.53831010877232	10.0187566994878	21.3636205341802	29.8237316057303	-2.0782318401609	5.40346032220242
Sample7	1.9951344399868	-1.57023625844656	7.28383009010252	21.0912436085341	11.618059644508	1.70791193951727	4.34768744627263	23.630970485499	23.4097352423876	30.484573701547
Sample8	3.31102376562594	8.3839703617272	4.80241593334037	15.5040048664672	0.646434874265104	2.33044104147384	9.16895064669385	9.75415455365889	17.2662340189157	6.53569460549796
Sample9	4.9536845579531	5.52608158642419	4.88582766682773	-13.3836832761242	6.78647195982212	-0.208130889190949	16.9618822769765	16.8154380042899	12.2898160644192	18.0642944188651
Sample10	-1.81830557655843	2.35382418250436	8.18446063331813	0.996458911333657	13.374711839041	20.3620770394484	-1.20800517343685	29.7607911136477	14.8893154014636	19.9766404288632
Sample11	0.595121053375181	24.1989062147597	0.784715385420512	7.90943524707015	8.93004325948049	23.149717984954	-0.435279559705938	0.387342138429588	11.2858493289864	19.8717026613281
Sample12	1.37713956397616	-1.29385886317261	4.99634213983016	-6.58133487244768	9.3091840827841	7.87055147072909	5.02541914915825	19.247706605947	16.4265954791902	21.519473219844
Sample13	-1.32631406133475	-0.707869729840423	6.68402949487164	14.9452964649487	9.5676311673618	0.710226019931696	11.2165631475269	14.4320968304776	8.6869492900013	25.9851113140108
Sample14	0.49893311641542	-11.4593692401752	4.38613008500996	-16.6133547518649	17.2654588415578	11.1206866822295	23.9112171890558	24.7778386073435	-1.83009479470132	18.7378756270172
Sample15	0.445296481636984	3.59473276704823	6.41863776334291	9.43289764040456	6.31061859520178	34.4190369331262	11.8064194811818	23.5016657518064	15.8040019575062	17.5146443415322
Sample16	0.554860600280795	12.9035630547068	4.72447685306396	4.08777880872944	14.0567587498882	32.4131317075049	15.2990457244655	19.0105340384283	28.4527586946239	21.6032739490462
Sample17	-2.37766919829414	-16.7138785092921	12.4733757435337	3.08835914385925	15.3915976332253	-5.19800336721453	13.4831447219755	30.9281111722931	36.7732956629967	15.6635805840273
Sample18	2.42683710057311	1.49934879926981	8.85675440595447	5.16352547547949	2.86409257887388	8.43093343877613	8.35810322379886	0.745061998302996	18.0260619595717	35.3741241910027
Sample19	0.736154127490337	-7.81650426653318	17.863461479333	11.1479480470784	10.7275530989141	27.3328049216229	24.8975781500079	25.1071755848602	17.1933006529083	-1.70246576616077
Sample20	5.04098238766433	18.4193726501691	2.81968958176316	11.9632657793899	9.93266988321753	11.6175590338976	5.22789449533347	0.204679721424609	27.6298228123987	30.2700461929143
